agent,ticker,fold_id,metric,n,mean,std,median,q25,q75,min,max
buy_and_hold,QQQ,test_legacy,capital_preservation_rate_95pct_hwm,2,0.9755540746518121,5.585653583791998e-08,0.9755540746518121,0.9755540549035444,0.9755540944000798,0.9755540351552768,0.9755541141483474
buy_and_hold,SPY,test_legacy,final_portfolio_value,8,1520353.671875,0.1484668673956776,1520353.75,1520353.6875,1520353.75,1520353.375,1520353.75
buy_and_hold,SPY,test_legacy,annualized_return,8,0.11123072515867695,2.5100402846764324e-08,0.11123072423510123,0.11123071710598215,0.1112307329773011,0.1112306902025844,0.1112307592039007
buy_and_hold,SPY,test_legacy,annualized_volatility,8,0.17975161054026045,4.217298949312346e-08,0.17975159745956626,0.179751574314882,0.17975165081333996,0.179751569894429,0.17975166984625687
buy_and_hold,SPY,test_legacy,sharpe_ratio,8,0.5867433902087906,1.335731001837864e-07,0.5867433950243637,0.5867433542365572,0.5867434990284852,0.5867431134322292,0.5867435182606423
buy_and_hold,SPY,test_legacy,max_drawdown,8,0.24496391214871813,8.232162746066961e-08,0.2449638909397568,0.2449638517198789,0.2449639646076853,0.2449638278102393,0.24496404718974707
buy_and_hold,SPY,test_legacy,var_95,8,-0.017240065233926405,1.292903078157651e-07,-0.017240130868828807,-0.017240165565503673,-0.017239964324126777,-0.01724016874574197,-0.01723983160874276
buy_and_hold,SPY,test_legacy,var_95_violation_rate,8,0.04995004995004995,0.0,0.04995004995004995,0.04995004995004995,0.04995004995004995,0.04995004995004995,0.04995004995004995
buy_and_hold,SPY,test_legacy,capital_preservation_rate_95pct_hwm,8,0.9951187321937485,3.815108556281334e-08,0.995118752797609,0.9951187322436701,0.995118752797609,0.9951186701824808,0.995118752797609
buy_and_hold,XLE,test_legacy,final_portfolio_value,1,1813620.625,0.0,1813620.625,1813620.625,1813620.625,1813620.625,1813620.625
buy_and_hold,XLE,test_legacy,annualized_return,1,0.16168562627040683,0.0,0.16168562627040683,0.16168562627040683,0.16168562627040683,0.16168562627040683,0.16168562627040683
buy_and_hold,XLE,test_legacy,annualized_volatility,1,0.2601563625031289,0.0,0.2601563625031289,0.2601563625031289,0.2601563625031289,0.2601563625031289,0.2601563625031289
buy_and_hold,XLE,test_legacy,sharpe_ratio,1,0.5760842577704235,0.0,0.5760842577704235,0.5760842577704235,0.5760842577704235,0.5760842577704235,0.5760842577704235
buy_and_hold,XLE,test_legacy,max_drawdown,1,0.2604372357812461,0.0,0.2604372357812461,0.2604372357812461,0.2604372357812461,0.2604372357812461,0.2604372357812461
buy_and_hold,XLE,test_legacy,var_95,1,-0.025542739966079253,0.0,-0.025542739966079253,-0.025542739966079253,-0.025542739966079253,-0.025542739966079253,-0.025542739966079253
