date,portfolio_value,seed,agent,uncertainty
2022-08-10,954543.956700023,7,ppo_with_uncertainty_guard,0.23175217
2022-08-11,954542.9223172609,7,ppo_with_uncertainty_guard,0.16733803
2022-08-12,967117.4472651413,7,ppo_with_uncertainty_guard,0.15924288
2022-08-15,970201.3523857476,7,ppo_with_uncertainty_guard,0.09401922
2022-08-16,971618.2534117231,7,ppo_with_uncertainty_guard,0.07262494
2022-08-17,966523.7554214417,7,ppo_with_uncertainty_guard,0.07933233
2022-08-18,968628.390235646,7,ppo_with_uncertainty_guard,0.1388894
2022-08-19,958851.5495360354,7,ppo_with_uncertainty_guard,0.16895705
2022-08-22,944089.1126328235,7,ppo_with_uncertainty_guard,0.26008517
2022-08-23,942371.1749284875,7,ppo_with_uncertainty_guard,0.39828068
2022-08-24,944603.2274565105,7,ppo_with_uncertainty_guard,0.45749083
2022-08-25,954300.4932126368,7,ppo_with_uncertainty_guard,0.45575616
2022-08-26,930689.4647240855,7,ppo_with_uncertainty_guard,0.37630817
2022-08-29,926111.487993682,7,ppo_with_uncertainty_guard,0.49206862
2022-08-30,918587.5133032093,7,ppo_with_uncertainty_guard,0.54329926
2022-08-31,913429.8468552614,7,ppo_with_uncertainty_guard,0.5915232
2022-09-01,915540.6112993616,7,ppo_with_uncertainty_guard,0.6152303
2022-09-02,908492.399642938,7,ppo_with_uncertainty_guard,0.5767206
2022-09-06,905999.2036971636,7,ppo_with_uncertainty_guard,0.5792648
2022-09-07,917739.2481484918,7,ppo_with_uncertainty_guard,0.564231
2022-09-08,922075.5108886403,7,ppo_with_uncertainty_guard,0.4481236
2022-09-09,932271.4339989717,7,ppo_with_uncertainty_guard,0.3557234
2022-09-12,939608.9917086374,7,ppo_with_uncertainty_guard,0.2377657
2022-09-13,908693.3892608184,7,ppo_with_uncertainty_guard,0.1466376
2022-09-14,911340.0510637007,7,ppo_with_uncertainty_guard,0.32461494
2022-09-15,903203.7738991263,7,ppo_with_uncertainty_guard,0.3729545
2022-09-16,897825.3022035712,7,ppo_with_uncertainty_guard,0.44430733
2022-09-19,903213.808814486,7,ppo_with_uncertainty_guard,0.49391893
2022-09-20,895277.8254006656,7,ppo_with_uncertainty_guard,0.45980373
2022-09-21,883560.2724972235,7,ppo_with_uncertainty_guard,0.4824701
2022-09-22,878021.6772248221,7,ppo_with_uncertainty_guard,0.5495441
2022-09-23,867115.8517899612,7,ppo_with_uncertainty_guard,0.58770686
2022-09-26,860869.5118925783,7,ppo_with_uncertainty_guard,0.65038633
2022-09-27,859276.0496668257,7,ppo_with_uncertainty_guard,0.68161047
2022-09-28,871526.9686372667,7,ppo_with_uncertainty_guard,0.66565144
2022-09-29,858410.6565126172,7,ppo_with_uncertainty_guard,0.5309253
2022-09-30,848909.0422021691,7,ppo_with_uncertainty_guard,0.54607475
2022-10-03,864880.4399854483,7,ppo_with_uncertainty_guard,0.5895572
2022-10-04,884120.6361796288,7,ppo_with_uncertainty_guard,0.45725954
2022-10-05,882630.2049307013,7,ppo_with_uncertainty_guard,0.2509492
2022-10-06,876144.035895014,7,ppo_with_uncertainty_guard,0.17994331
2022-10-07,858371.7058708334,7,ppo_with_uncertainty_guard,0.20399742
2022-10-10,853628.367472266,7,ppo_with_uncertainty_guard,0.3510976
2022-10-11,849716.1439946915,7,ppo_with_uncertainty_guard,0.4409536
2022-10-12,847700.0731052521,7,ppo_with_uncertainty_guard,0.49576926
2022-10-13,863551.5372834803,7,ppo_with_uncertainty_guard,0.5153132
2022-10-14,849496.0414192848,7,ppo_with_uncertainty_guard,0.3831312
2022-10-17,864864.601068677,7,ppo_with_uncertainty_guard,0.42626673
2022-10-18,871994.9083988991,7,ppo_with_uncertainty_guard,0.30911854
2022-10-19,867681.3762284084,7,ppo_with_uncertainty_guard,0.21070482
2022-10-20,862643.3733199771,7,ppo_with_uncertainty_guard,0.20873886
2022-10-21,877526.6112364003,7,ppo_with_uncertainty_guard,0.25314647
2022-10-24,885326.3546346754,7,ppo_with_uncertainty_guard,0.16814753
2022-10-25,895940.8186674769,7,ppo_with_uncertainty_guard,0.09691034
2022-10-26,890972.7218828007,7,ppo_with_uncertainty_guard,0.01688414
2022-10-27,887381.3319145497,7,ppo_with_uncertainty_guard,0.049495973
2022-10-28,903699.345557982,7,ppo_with_uncertainty_guard,0.11194417
2022-10-31,898710.5483887347,7,ppo_with_uncertainty_guard,0.054121766
2022-11-01,895727.5655231283,7,ppo_with_uncertainty_guard,0.09575389
2022-11-02,878269.6021225018,7,ppo_with_uncertainty_guard,0.15392323
2022-11-03,871177.7263483986,7,ppo_with_uncertainty_guard,0.3108532
2022-11-04,881150.2936114026,7,ppo_with_uncertainty_guard,0.42221916
2022-11-07,887882.3177043626,7,ppo_with_uncertainty_guard,0.39481133
2022-11-08,891715.8355769143,7,ppo_with_uncertainty_guard,0.335023
2022-11-09,877037.4009893208,7,ppo_with_uncertainty_guard,0.28159508
2022-11-10,915444.0803789732,7,ppo_with_uncertainty_guard,0.35433567
2022-11-11,922679.8592248093,7,ppo_with_uncertainty_guard,0.13414797
2022-11-14,916246.6017442922,7,ppo_with_uncertainty_guard,0.024516698
2022-11-15,922763.9826671951,7,ppo_with_uncertainty_guard,0.042325996
2022-11-16,916793.0883448366,7,ppo_with_uncertainty_guard,0.036775045
2022-11-17,914423.591861792,7,ppo_with_uncertainty_guard,0.10061097
2022-11-18,917960.8277326969,7,ppo_with_uncertainty_guard,0.16317481
2022-11-21,915055.5671332759,7,ppo_with_uncertainty_guard,0.18734458
2022-11-22,925850.7691848512,7,ppo_with_uncertainty_guard,0.22943927
2022-11-23,930915.503356105,7,ppo_with_uncertainty_guard,0.19543971
2022-11-25,930733.4268511663,7,ppo_with_uncertainty_guard,0.16699108
2022-11-28,917746.5717795034,7,ppo_with_uncertainty_guard,0.17057608
2022-11-29,916356.7002983611,7,ppo_with_uncertainty_guard,0.25939128
2022-11-30,941891.301605449,7,ppo_with_uncertainty_guard,0.30761516
2022-12-01,941269.8767471013,7,ppo_with_uncertainty_guard,0.18988876
2022-12-02,940302.9547207655,7,ppo_with_uncertainty_guard,0.16074628
2022-12-05,925215.9863955412,7,ppo_with_uncertainty_guard,0.16560335
2022-12-06,913464.7093798111,7,ppo_with_uncertainty_guard,0.2648266
2022-12-07,912097.8867499637,7,ppo_with_uncertainty_guard,0.37538302
2022-12-08,918382.6464458486,7,ppo_with_uncertainty_guard,0.42349124
2022-12-09,912342.3287207542,7,ppo_with_uncertainty_guard,0.39793375
2022-12-12,923893.714217318,7,ppo_with_uncertainty_guard,0.41423967
2022-12-13,929991.1120822852,7,ppo_with_uncertainty_guard,0.34161472
2022-12-14,924790.4225774482,7,ppo_with_uncertainty_guard,0.27442512
2022-12-15,904852.6118290375,7,ppo_with_uncertainty_guard,0.27696928
2022-12-16,895552.1130465678,7,ppo_with_uncertainty_guard,0.39018556
2022-12-19,888956.5313790372,7,ppo_with_uncertainty_guard,0.48004156
