agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,mc_dropout,mc_passes,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
ppo_with_uncertainty_guard_epistemic,0.134799775590184,0.34760499051552557,32,0.913661446220483,cpu,1635214.8672601166,test_legacy,0.46077889391249494,0.1,20,False,7,0.3637927299661142,AMZN,50000,epistemic,-0.03379589014576716,0.05
ppo_with_uncertainty_guard_epistemic,0.003571023780888755,0.03300232794050373,32,0.9897032575961745,cpu,1013959.1086813303,test_legacy,0.03656022148234561,0.1,20,True,13,0.10801194614125845,AMZN,50000,epistemic,-1.926618487830822e-05,0.05
ppo_with_uncertainty_guard_epistemic,0.09286472330162376,0.26099130683796634,32,0.924561373539381,cpu,1412474.0373313657,test_legacy,0.3770530545667561,0.1,20,False,19,0.3402503408114149,AMZN,50000,epistemic,-0.025321681621135104,0.05
ppo_with_uncertainty_guard_epistemic,-0.006275877424557673,0.04773109032913743,32,0.9499181265190614,cpu,975814.182912951,test_legacy,0.07078201942546625,0.1,20,False,23,-0.13189794213248487,AMZN,50000,epistemic,-0.0023166205219028236,0.05
ppo_with_uncertainty_guard_epistemic,0.18304935276222295,0.2789676507726013,32,0.9139604828107987,cpu,1922649.060135699,test_legacy,0.30691821298571453,0.1,20,False,29,0.6025616458327386,AMZN,50000,epistemic,-0.025161557539017654,0.05
ppo_with_uncertainty_guard_epistemic,0.15329188364201163,0.27367283426182853,32,0.9160486316258121,cpu,1741304.8328427603,test_legacy,0.30462641844404736,0.1,20,False,37,0.5211342162409963,AMZN,50000,epistemic,-0.025017806838411347,0.05
ppo_with_uncertainty_guard_epistemic,0.10786623946871143,0.2807980405912172,32,0.9188529418344601,cpu,1489382.6006203215,test_legacy,0.3710749273180869,0.1,20,False,42,0.3648024053519655,AMZN,50000,epistemic,-0.027607264784089036,0.05
ppo_with_uncertainty_guard_epistemic,0.1244114981735137,0.3502315943807808,32,0.9149754632088428,cpu,1577766.56268034,test_legacy,0.48464373815691497,0.1,20,False,53,0.3348062675755989,AMZN,50000,epistemic,-0.03375490313493516,0.05
ppo_with_uncertainty_guard_epistemic,0.15247779057119748,0.3337990823781893,32,0.9136614678431481,cpu,1736529.6245364489,test_legacy,0.4150672377804485,0.1,20,False,67,0.4251484352432046,AMZN,50000,epistemic,-0.03252229769607568,0.05
ppo_with_uncertainty_guard_epistemic,-0.007590800237205289,0.12098534292298635,32,0.9296320523023592,cpu,970802.3462626422,test_legacy,0.23368417756283533,0.1,20,False,89,-0.06298074468398009,AMZN,50000,epistemic,-0.011693229252142423,0.05
ppo_with_uncertainty_guard_epistemic,0.6165031283958249,0.43745116933123823,32,0.8476609252782925,cpu,6473378.865291834,test_legacy,0.4114967615284719,0.1,20,False,7,1.0978712890943774,AVGO,50000,epistemic,-0.037174627851550304,0.05
ppo_with_uncertainty_guard_epistemic,0.6151867732573103,0.43925975420155194,32,0.8476609251893122,cpu,6452903.002559672,test_legacy,0.41149677792659123,0.1,20,False,13,1.0914963668031494,AVGO,50000,epistemic,-0.03769343250943269,0.05
ppo_with_uncertainty_guard_epistemic,0.6215789384116153,0.4344937347218998,32,0.8476610015292412,cpu,6552785.091798943,test_legacy,0.411489740421749,0.1,20,False,19,1.1125595438440048,AVGO,50000,epistemic,-0.036350710326261026,0.05
ppo_with_uncertainty_guard_epistemic,0.6157862351741423,0.4364106793253242,32,0.8476609283597271,cpu,6462221.6382718105,test_legacy,0.4114963464201742,0.1,20,False,23,1.0994723991196518,AVGO,50000,epistemic,-0.037049254324230854,0.05
