date,portfolio_value,seed,agent
2023-11-13,986392.3698594907,42,ppo_standalone
2023-11-14,986392.3698594907,42,ppo_standalone
2023-11-15,986392.3698594907,42,ppo_standalone
2023-11-16,986392.3698594907,42,ppo_standalone
2023-11-17,986392.3698594907,42,ppo_standalone
2023-11-20,986392.3698594907,42,ppo_standalone
2023-11-21,986392.3698594907,42,ppo_standalone
2023-11-22,986392.3698594907,42,ppo_standalone
2023-11-24,986392.3698594907,42,ppo_standalone
2023-11-27,986392.3698594907,42,ppo_standalone
2023-11-28,986392.3698594907,42,ppo_standalone
2023-11-29,986392.3698594907,42,ppo_standalone
2023-11-30,986392.3698594907,42,ppo_standalone
2023-12-01,986392.3698594907,42,ppo_standalone
2023-12-04,986392.3698594907,42,ppo_standalone
2023-12-05,986392.3698594907,42,ppo_standalone
2023-12-06,986392.3698594907,42,ppo_standalone
2023-12-07,986392.3698594907,42,ppo_standalone
2023-12-08,986392.3698594907,42,ppo_standalone
2023-12-11,986392.3698594907,42,ppo_standalone
2023-12-12,986392.3698594907,42,ppo_standalone
2023-12-13,986392.3698594907,42,ppo_standalone
2023-12-14,986392.3698594907,42,ppo_standalone
2023-12-15,986392.3698594907,42,ppo_standalone
2023-12-18,986392.3698594907,42,ppo_standalone
2023-12-19,986392.3698594907,42,ppo_standalone
2023-12-20,986392.3698594907,42,ppo_standalone
2023-12-21,986392.3698594907,42,ppo_standalone
2023-12-22,986392.3698594907,42,ppo_standalone
2023-12-26,986392.3698594907,42,ppo_standalone
2023-12-27,986392.3698594907,42,ppo_standalone
2023-12-28,986392.3698594907,42,ppo_standalone
2023-12-29,986392.3698594907,42,ppo_standalone
2024-01-02,986392.3698594907,42,ppo_standalone
2024-01-03,986392.3698594907,42,ppo_standalone
2024-01-04,986392.3698594907,42,ppo_standalone
2024-01-05,986392.3698594907,42,ppo_standalone
2024-01-08,986392.3698594907,42,ppo_standalone
2024-01-09,986392.3698594907,42,ppo_standalone
2024-01-10,986392.3698594907,42,ppo_standalone
2024-01-11,986392.3698594907,42,ppo_standalone
2024-01-12,986392.3698594907,42,ppo_standalone
2024-01-16,986392.3698594907,42,ppo_standalone
2024-01-17,986392.3698594907,42,ppo_standalone
2024-01-18,986392.3698594907,42,ppo_standalone
2024-01-19,986392.3698594907,42,ppo_standalone
2024-01-22,986392.3698594907,42,ppo_standalone
2024-01-23,986392.3698594907,42,ppo_standalone
2024-01-24,986392.3698594907,42,ppo_standalone
2024-01-25,986392.3698594907,42,ppo_standalone
2024-01-26,986392.3698594907,42,ppo_standalone
2024-01-29,986392.3698594907,42,ppo_standalone
2024-01-30,986392.3698594907,42,ppo_standalone
2024-01-31,986392.3698594907,42,ppo_standalone
2024-02-01,986392.3698594907,42,ppo_standalone
2024-02-02,986392.3698594907,42,ppo_standalone
2024-02-05,986392.3698594907,42,ppo_standalone
2024-02-06,986392.3698594907,42,ppo_standalone
2024-02-07,986392.3698594907,42,ppo_standalone
2024-02-08,986392.3698594907,42,ppo_standalone
2024-02-09,986392.3698594907,42,ppo_standalone
2024-02-12,986392.3698594907,42,ppo_standalone
2024-02-13,986392.3698594907,42,ppo_standalone
2024-02-14,986392.3698594907,42,ppo_standalone
2024-02-15,986392.3698594907,42,ppo_standalone
2024-02-16,986392.3698594907,42,ppo_standalone
2024-02-20,986392.3698594907,42,ppo_standalone
2024-02-21,986392.3698594907,42,ppo_standalone
2024-02-22,986392.3698594907,42,ppo_standalone
2024-02-23,986392.3698594907,42,ppo_standalone
2024-02-26,986392.3698594907,42,ppo_standalone
2024-02-27,986392.3698594907,42,ppo_standalone
2024-02-28,986392.3698594907,42,ppo_standalone
2024-02-29,986392.3698594907,42,ppo_standalone
2024-03-01,986392.3698594907,42,ppo_standalone
2024-03-04,986392.3698594907,42,ppo_standalone
2024-03-05,986392.3698594907,42,ppo_standalone
2024-03-06,986392.3698594907,42,ppo_standalone
2024-03-07,986392.3698594907,42,ppo_standalone
2024-03-08,986392.3698594907,42,ppo_standalone
2024-03-11,986392.3698594907,42,ppo_standalone
2024-03-12,986392.3698594907,42,ppo_standalone
2024-03-13,986392.3698594907,42,ppo_standalone
2024-03-14,986392.3698594907,42,ppo_standalone
2024-03-15,986392.3698594907,42,ppo_standalone
2024-03-18,986392.3698594907,42,ppo_standalone
2024-03-19,986392.3698594907,42,ppo_standalone
2024-03-20,986392.3698594907,42,ppo_standalone
2024-03-21,986392.3698594907,42,ppo_standalone
2024-03-22,986392.3698594907,42,ppo_standalone
2024-03-25,986392.3698594907,42,ppo_standalone
2024-03-26,986392.3698594907,42,ppo_standalone
2024-03-27,986392.3698594907,42,ppo_standalone
2024-03-28,986392.3698594907,42,ppo_standalone
2024-04-01,986392.3698594907,42,ppo_standalone
2024-04-02,986392.3698594907,42,ppo_standalone
2024-04-03,986392.3698594907,42,ppo_standalone
2024-04-04,986392.3698594907,42,ppo_standalone
2024-04-05,986392.3698594907,42,ppo_standalone
2024-04-08,986392.3698594907,42,ppo_standalone
2024-04-09,986392.3698594907,42,ppo_standalone
2024-04-10,986392.3698594907,42,ppo_standalone
2024-04-11,986392.3698594907,42,ppo_standalone
2024-04-12,986392.3698594907,42,ppo_standalone
