agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,drawdown_floor,fast_window,final_portfolio_value,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,slow_window,ticker,var_95,var_95_violation_rate
stop_loss_5pct,0.18664905180522015,0.208035073161141,0.9024146980331403,0.05,20,1973443.4134472627,0.22298531184838488,False,-1,0.8226174505789321,50,IBM,-0.016836900232432228,0.04995004995004995
stop_loss_10pct,0.15531457839566407,0.2143485552006764,0.8916252125985605,0.1,20,1774431.9164454667,0.21460510789893583,False,-1,0.6735411026247525,50,IBM,-0.017900318156522488,0.04995004995004995
stop_loss_5pct,-0.010557119301514173,0.16124699980002136,0.911363755342454,0.05,20,958718.1455378669,0.23766684740811006,False,-1,-0.06581970882377877,50,IJR,-0.01645456516126842,0.04995004995004995
stop_loss_10pct,-0.02406668902578261,0.17230978113498152,0.9006102598790092,0.1,20,907767.1280426241,0.2899811816806147,False,-1,-0.14137909769098506,50,IJR,-0.018286377230325,0.04995004995004995
stop_loss_5pct,0.023218339907172054,0.1389782064807057,0.9661017204088667,0.05,20,1095459.5990196262,0.24399085714905888,True,-1,0.16515444798439552,50,JNJ,-0.013915402049192949,0.04995004995004995
stop_loss_10pct,0.041651407485069604,0.1510092279035911,0.9661017204088665,0.1,20,1175972.9470666011,0.25448513374223614,True,-1,0.27023052344134857,50,JNJ,-0.014163480638210046,0.04995004995004995
stop_loss_5pct,0.1369773512748986,0.19501808404915122,0.9825319049634686,0.05,20,1665170.0569629886,0.2548822334521761,True,-1,0.6582630066173102,50,JPM,-0.017632740423740856,0.04995004995004995
stop_loss_10pct,0.16361718626147767,0.19425122302999903,0.9825319049634686,0.1,20,1825628.6767834758,0.20289614274594414,True,-1,0.780089263973998,50,JPM,-0.017583176952030044,0.04995004995004995
stop_loss_5pct,0.18541884372014247,0.24538503799210723,0.7782090669428378,0.05,20,1965329.2204289204,0.4737079885902069,False,-1,0.6931802285329313,50,LLY,-0.02463716676288108,0.04995004995004995
stop_loss_10pct,0.23536194419637854,0.2701300453627916,0.9363754517379248,0.1,20,2315405.363564786,0.38951911044852094,False,-1,0.7824522994920267,50,LLY,-0.026173192047584948,0.04995004995004995
stop_loss_5pct,-0.014109493510123848,0.17260464485129076,0.8432248188399025,0.05,20,945118.2818986716,0.23673144132894264,False,-1,-0.08232667014150519,50,MA,-0.017914534657718306,0.04995004995004995
stop_loss_10pct,-0.035011938061934256,0.19346407710679278,0.8027480656284552,0.1,20,867995.9696373985,0.35922677360667055,False,-1,-0.18421776309910648,50,MA,-0.01935880865997497,0.04995004995004995
stop_loss_5pct,-0.010985832329944453,0.13156846947840833,0.8349500416257615,0.05,20,957069.1450676217,0.20834535871380844,False,-1,-0.0839609135050417,50,MCD,-0.013314408426241542,0.04995004995004995
stop_loss_10pct,-0.04811616544364933,0.1480062434751564,0.8187275646491494,0.1,20,822111.4482937185,0.2237266372950839,False,-1,-0.3331766289919693,50,MCD,-0.01431529276998944,0.04995004995004995
stop_loss_5pct,0.35244590283396166,0.31341477454619765,0.8372064454720396,0.05,20,3317702.123349615,0.2785995586354426,False,-1,0.9633067890652297,50,META,-0.02587435539298255,0.04995004995004995
stop_loss_10pct,0.33853697443317454,0.3283332909406452,0.7699234415047996,0.1,20,3184226.691879912,0.3225703166041497,False,-1,0.8880520935608508,50,META,-0.027345472502753765,0.04995004995004995
stop_loss_5pct,0.03279956513266096,0.1840060747472235,0.8446160551512182,0.05,20,1136775.8819937953,0.2852906300917234,False,-1,0.17539155538922133,50,MSFT,-0.019772276331394778,0.04995004995004995
