agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.1252884458904017,0.17210075860190469,32,0.928214151770504,cpu,1582557.3393315517,test_legacy,0.23928105347641604,False,19,0.6858731548855989,BRK-B,50000,aleatoric,-0.016324836886493797,0.05
ppo_with_uncertainty_guard,0.1254691363972667,0.1657524681353812,32,0.92823510559576,cpu,1583545.7949941931,test_legacy,0.22062950219223176,False,23,0.7131106220595387,BRK-B,50000,aleatoric,-0.01556657614788044,0.05
ppo_with_uncertainty_guard,0.14010008117657996,0.16249178373288667,32,0.9282141726262488,cpu,1665117.5912931387,test_legacy,0.17498715219414207,False,29,0.8069080045405638,BRK-B,50000,aleatoric,-0.015374712022485682,0.05
ppo_with_uncertainty_guard,0.10320307759590593,0.13539808443906015,32,0.9332585240434683,cpu,1465150.922225302,test_legacy,0.1676993594112045,False,37,0.725399642434515,BRK-B,50000,aleatoric,-0.013265203360417654,0.05
ppo_with_uncertainty_guard,0.12027660142997557,0.16092936200945093,32,0.930544238668952,cpu,1555322.5754526167,test_legacy,0.22109361751297074,False,42,0.7057475834514354,BRK-B,50000,aleatoric,-0.015246869060382551,0.05
ppo_with_uncertainty_guard,0.12831824006187514,0.16971528864966673,32,0.9282143512820116,cpu,1599192.341121699,test_legacy,0.22773009092021768,False,53,0.7113568202130174,BRK-B,50000,aleatoric,-0.016003383355709742,0.05
ppo_with_uncertainty_guard,0.1312956506680361,0.16210517663298443,32,0.9290638978990199,cpu,1615665.933374192,test_legacy,0.18788889944529774,False,67,0.7610086929697337,BRK-B,50000,aleatoric,-0.015238741354530294,0.05
ppo_with_uncertainty_guard,0.13213110857745625,0.16079867639238932,32,0.9285788708816226,cpu,1620310.96631252,test_legacy,0.18966451326604183,False,89,0.7717829128945437,BRK-B,50000,aleatoric,-0.015251524488443913,0.05
ppo_with_uncertainty_guard,0.23745209505385537,0.2821291314498018,32,0.9717834842620026,cpu,2289985.0563836647,test_legacy,0.3239655601651291,True,7,0.755166198790125,C,50000,aleatoric,-0.02431467541258083,0.05
ppo_with_uncertainty_guard,0.23008806843447355,0.2617062508741158,32,0.9723146014747567,cpu,2237442.6487872666,test_legacy,0.3111797905499927,True,13,0.7912903909220315,C,50000,aleatoric,-0.022456749434145884,0.05
ppo_with_uncertainty_guard,0.2513758353576921,0.27573505879516874,32,0.9717834885326422,cpu,2391829.3703805306,test_legacy,0.31312644383285837,True,19,0.8132570670861189,C,50000,aleatoric,-0.023231204797785752,0.05
ppo_with_uncertainty_guard,0.2296937485629044,0.2879326756787841,32,0.9717834842295137,cpu,2234654.6742342915,test_legacy,0.3392270584056809,True,23,0.7181020319824075,C,50000,aleatoric,-0.025296958649489554,0.05
ppo_with_uncertainty_guard,0.1299943550135721,0.16671187145658098,32,0.9817693991355272,cpu,1608450.6181865148,test_legacy,0.24280838380079106,True,29,0.7330762932988634,C,50000,aleatoric,-0.015004381870148187,0.05
ppo_with_uncertainty_guard,0.22145409534975857,0.2670793336740734,32,0.9730990320318087,cpu,2176985.734787233,test_legacy,0.3179523096050053,True,37,0.7489980928174633,C,50000,aleatoric,-0.023230221126072512,0.05
ppo_with_uncertainty_guard,0.21811581056891297,0.27548041739902135,32,0.9730104509855361,cpu,2153938.8387972717,test_legacy,0.3324925457905631,True,42,0.7162219932098981,C,50000,aleatoric,-0.024088443108598322,0.05
ppo_with_uncertainty_guard,0.22759179381571454,0.2701576223655238,32,0.9722339164121228,cpu,2219836.6638734685,test_legacy,0.3137355830238856,True,53,0.7590170387105002,C,50000,aleatoric,-0.02330649983756663,0.05
ppo_with_uncertainty_guard,0.2473274365082233,0.2705158742123153,32,0.9718579673230022,cpu,2361877.690138783,test_legacy,0.3107288682752024,True,67,0.8169689951867019,C,50000,aleatoric,-0.022896319393532847,0.05
ppo_with_uncertainty_guard,0.06521375529404523,0.11376356267918311,32,0.9859036355385868,cpu,1278493.528803084,test_legacy,0.19880086318772616,True,89,0.5553219200932886,C,50000,aleatoric,-0.009407716111127496,0.05
ppo_with_uncertainty_guard,0.3339918140023559,0.2789941510361404,32,0.9248754856696616,cpu,3066950.390098934,test_legacy,0.3404061673510208,False,7,1.032909277865082,CAT,50000,aleatoric,-0.026213633376997336,0.05
