agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_standalone,0.008475308585862875,0.008126015660489854,0,0.9997824564690382,1016171.2907696175,wf_2024_2025,0.005157556805575503,True,7,1.0385692436762457,2024-01-01/2025-12-31,SPY,10000,2009-01-01/2023-12-31,0.0,0.016701461377870562
ppo_with_uncertainty_guard,0.010295291044347347,0.011537705427881986,0,0.9975345782153715,1019659.934877412,wf_2024_2025,0.010182490946834766,True,7,0.8877427693075003,2024-01-01/2025-12-31,SPY,10000,2009-01-01/2023-12-31,-0.0009154262074352103,0.05010438413361169
ppo_standalone,0.017485210314358304,0.013737875195707985,0,0.998490939146246,1033497.3672824929,wf_2024_2025,0.0066846948624236235,True,19,1.2617600878046535,2024-01-01/2025-12-31,SPY,10000,2009-01-01/2023-12-31,0.0,0.04592901878914405
ppo_with_uncertainty_guard,0.19732424904467272,0.16137329464805983,0,0.9963353220619735,1408200.3615035696,wf_2024_2025,0.18752049085362732,True,19,1.1159783152409388,2024-01-01/2025-12-31,SPY,10000,2009-01-01/2023-12-31,-0.015361216351420025,0.05010438413361169
ppo_standalone,0.01096743819629267,0.009870298705979458,0,0.9998554065421875,1020949.7767598643,wf_2024_2025,0.006205681302106303,True,42,1.105088801888824,2024-01-01/2025-12-31,SPY,10000,2009-01-01/2023-12-31,0.0,0.022964509394572025
ppo_with_uncertainty_guard,0.20384357741870895,0.16247874992151945,0,0.9963353370684623,1422810.4908044576,wf_2024_2025,0.1874292927303267,True,42,1.1418061635288486,2024-01-01/2025-12-31,SPY,10000,2009-01-01/2023-12-31,-0.015360029750000592,0.05010438413361169
ppo_standalone,-0.009794351387723664,0.017588888584854936,0,0.9814267785499646,981426.7785499647,wf_2018_2019,0.03280602209547023,True,7,-0.5595886673063953,2018-01-01/2019-12-31,QQQ,10000,2009-01-01/2017-12-31,0.0,0.01875
ppo_with_uncertainty_guard,0.07884404344355765,0.11316477310621505,0,0.9993760071352961,1155522.5239836522,wf_2018_2019,0.13731283020417306,True,7,0.6706153270046181,2018-01-01/2019-12-31,QQQ,10000,2009-01-01/2017-12-31,-0.013204960980887125,0.05
ppo_standalone,-0.006920476270546232,0.016521808721747196,0,0.9868594178584567,986859.4178584566,wf_2018_2019,0.03052198817157492,True,19,-0.42032123824203027,2018-01-01/2019-12-31,QQQ,10000,2009-01-01/2017-12-31,0.0,0.01875
ppo_with_uncertainty_guard,0.11523547838673609,0.16229881375214766,0,0.9991661315116404,1230897.9583422143,wf_2018_2019,0.19889644622018887,True,19,0.6720040941382107,2018-01-01/2019-12-31,QQQ,10000,2009-01-01/2017-12-31,-0.016950442791597894,0.05
ppo_standalone,-0.008403950509381548,0.026518189644775272,0,0.9840533486957119,984053.3486957119,wf_2018_2019,0.04674516033682419,True,42,-0.31824994074805424,2018-01-01/2019-12-31,QQQ,10000,2009-01-01/2017-12-31,0.0,0.025
ppo_with_uncertainty_guard,0.14107731234973328,0.18851982211174642,0,0.9991579564808423,1285794.4975641975,wf_2018_2019,0.2258539032508069,True,42,0.7000468936929747,2018-01-01/2019-12-31,QQQ,10000,2009-01-01/2017-12-31,-0.0214549696609712,0.05
ppo_standalone,-0.001679758392647342,0.018653543393238554,0,0.9640932253796265,996789.5917561288,wf_2020_2021,0.03621485606717045,True,7,-0.09012531432985785,2020-01-01/2021-12-31,QQQ,10000,2009-01-01/2019-12-31,0.0,0.024896265560165973
ppo_with_uncertainty_guard,0.27291256769161526,0.19299628086914863,0,0.9961464165575331,1586529.1896881945,wf_2020_2021,0.17768784795665538,True,7,1.2503216929946868,2020-01-01/2021-12-31,QQQ,10000,2009-01-01/2019-12-31,-0.020345843436401712,0.05186721991701245
ppo_standalone,0.011771207368027378,0.008575078093880813,0,0.9999366645654714,1022635.6727659443,wf_2020_2021,0.0009764004446164432,True,19,1.3646813317600617,2020-01-01/2021-12-31,QQQ,10000,2009-01-01/2019-12-31,0.0,0.006224066390041493
ppo_with_uncertainty_guard,0.2704806962464395,0.2004283486621199,0,0.995217417539939,1580736.7998962766,wf_2020_2021,0.1631260793472683,True,19,1.1944175653224651,2020-01-01/2021-12-31,QQQ,10000,2009-01-01/2019-12-31,-0.021188597374376082,0.05186721991701245
ppo_standalone,0.008827739134938884,0.013523428771336155,0,0.981317461811794,1016952.8061623159,wf_2020_2021,0.018682538188205977,True,42,0.6499016950787836,2020-01-01/2021-12-31,QQQ,10000,2009-01-01/2019-12-31,0.0,0.02074688796680498
ppo_with_uncertainty_guard,0.34401213035836764,0.22211917929378147,0,0.9952506486877092,1760340.0698395509,wf_2020_2021,0.1857739734736209,True,42,1.3310829675386628,2020-01-01/2021-12-31,QQQ,10000,2009-01-01/2019-12-31,-0.023289676035043883,0.05186721991701245
ppo_standalone,-0.017440085427479716,0.026333321352258722,0,0.9633170575424622,967110.5391722431,wf_2022_2023,0.04111848502007687,True,7,-0.6681211628617942,2022-01-01/2023-12-31,QQQ,10000,2009-01-01/2021-12-31,0.0,0.03549060542797495
