date,baseline_value,prob_value,uncertainty_aleatoric,uncertainty_epistemic
2022-05-09,997943.0162297995,892689.1272056802,0.4956417,0.20779203
2022-05-10,997943.0162297995,894622.4802388661,0.61104727,0.37630856
2022-05-11,997943.0162297995,881297.9065682072,0.64187527,0.21453509
2022-05-12,997943.0162297995,880436.0855116599,0.7012826,0.2976943
2022-05-13,997943.0162297995,900149.9964781501,0.7107849,0.2726938
2022-05-16,997943.0162297995,896724.1984709873,0.60974157,0.3751346
2022-05-17,997943.0162297995,914021.214806383,0.55359834,0.5281389
2022-05-18,997943.0162297995,879427.317695333,0.43289766,0.9677725
2022-05-19,997943.0162297995,874383.2074942162,0.49963123,0.34515092
2022-05-20,997943.0162297995,874740.6107526649,0.5306043,0.50223297
2022-05-23,997943.0162297995,890061.9794155286,0.53807557,0.43242896
2022-05-24,997943.0162297995,883693.857219241,0.47119692,0.48472676
2022-05-25,997943.0162297995,891007.7119520607,0.44878316,0.7762472
2022-05-26,997943.0162297995,907695.0483500877,0.39510617,0.41836584
2022-05-27,997943.0162297995,928588.5498549656,0.2992855,0.21210507
2022-05-31,997943.0162297995,923669.4810845782,0.15987039,0.37285215
2022-06-01,997943.0162297995,916589.9531465238,0.116856255,0.45750043
2022-06-02,997943.0162297995,933090.8842655165,0.1270839,0.49864784
2022-06-03,997943.0162297995,918522.7360264228,0.08544797,0.16851209
2022-06-06,997943.0162297995,921188.8345962093,0.13252413,0.42396933
2022-06-07,997943.0162297995,929658.0792678358,0.15725908,0.41552305
2022-06-08,997943.0162297995,919924.6150298981,0.15044065,0.3791691
2022-06-09,997943.0162297995,898798.1418841555,0.20063588,0.50376976
2022-06-10,997943.0162297995,873710.8059127027,0.31176177,0.55478597
2022-06-13,997943.0162297995,841750.536544804,0.47344556,0.7385984
2022-06-14,997943.0162297995,839310.267696323,0.6886613,0.7667823
2022-06-15,997943.0162297995,850819.8739611602,0.790575,0.77258885
2022-06-16,997943.0162297995,823719.5953928829,0.7791868,0.54802185
2022-06-17,997943.0162297995,825426.411671169,0.85186833,0.66770256
2022-06-21,997943.0162297995,845399.2286379215,0.841278,0.4039155
2022-06-22,997943.0162297995,843924.6560506148,0.7233337,0.55215514
2022-06-23,997943.0162297995,851883.5179634024,0.64325345,0.5050292
2022-06-24,997943.0162297995,877950.131248316,0.5340135,0.5933813
2022-06-27,997943.0162297995,874718.7455685621,0.3565893,0.4116128
2022-06-28,997943.0162297995,857498.5136634512,0.2738977,0.3711611
2022-06-29,997943.0162297995,856821.893542556,0.2939903,0.69015646
2022-06-30,997943.0162297995,850101.4722826459,0.30305737,0.4628343
