agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.14772115093813015,0.21459976822126667,16,0.9725288768160318,cpu,1299381.3259648804,wf_2024_2025,0.2750302900934457,True,42,0.6420243028989965,2024-01-01/2025-12-31,IWM,50000,2009-01-01/2023-12-31,-0.01997212993459758,0.05010438413361169
ppo_standalone,0.010821813116562272,0.01703241056688934,16,0.9982362610664811,cpu,1020670.2585009555,wf_2024_2025,0.012388275962486484,True,53,0.6319467224180713,2024-01-01/2025-12-31,IWM,50000,2009-01-01/2023-12-31,0.0,0.04592901878914405
ppo_with_uncertainty_guard,0.14036332422438258,0.21046738027319561,16,0.9725290314054531,cpu,1283593.2685670888,wf_2024_2025,0.27489341315875904,True,53,0.6240720906571123,2024-01-01/2025-12-31,IWM,50000,2009-01-01/2023-12-31,-0.019794241791597323,0.05010438413361169
ppo_standalone,0.004169153624997063,0.011094235723780913,16,0.9937743581203163,cpu,1007939.5794838237,wf_2024_2025,0.009296957930734595,True,67,0.3750080093398481,2024-01-01/2025-12-31,IWM,50000,2009-01-01/2023-12-31,0.0,0.018789144050104383
ppo_with_uncertainty_guard,0.1313993711915289,0.20463863358628953,16,0.972529544129762,cpu,1264482.505394737,wf_2024_2025,0.2744561925859357,True,67,0.6032837016930649,2024-01-01/2025-12-31,IWM,50000,2009-01-01/2023-12-31,-0.01878823144642627,0.05010438413361169
ppo_standalone,0.004791712112085358,0.007610971666678565,16,0.9984910742812465,cpu,1009127.7095990927,wf_2024_2025,0.0071735837737928465,True,89,0.6280628688613883,2024-01-01/2025-12-31,IWM,50000,2009-01-01/2023-12-31,0.0,0.010438413361169102
ppo_with_uncertainty_guard,0.13174873212888696,0.1924178243711129,16,0.972598379829176,cpu,1265224.7834208393,wf_2024_2025,0.26347757954118856,True,89,0.6432038474474239,2024-01-01/2025-12-31,IWM,50000,2009-01-01/2023-12-31,-0.018012519409205827,0.05010438413361169
ppo_standalone,0.015274495766612588,0.049757734680670025,16,0.9963223610923124,cpu,1029295.2188570192,wf_2018_2019,0.04745909636276824,True,7,0.30465548412368715,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.0032866265718713974,0.05
ppo_with_uncertainty_guard,0.018725702473014624,0.0644016002798427,16,0.9999489998410379,cpu,1035969.975064734,wf_2018_2019,0.06904870182637124,True,7,0.28807497242575775,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.007222365671845309,0.05
ppo_standalone,-0.0023518100506968345,0.04394523713926611,16,0.9809526153435897,cpu,995525.1281143567,wf_2018_2019,0.04745909636276824,True,13,-0.05357967204972643,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.0010014567825351146,0.05
ppo_with_uncertainty_guard,0.16083423699610572,0.18280572774967857,16,0.9998913817836713,cpu,1328531.4066160477,wf_2018_2019,0.21857963814386416,True,13,0.815832133874315,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.01814500470928051,0.05
ppo_standalone,-0.012019726417678222,0.02202205560029324,16,0.9768017502605703,cpu,977229.820589409,wf_2018_2019,0.038683397923336305,True,19,-0.5491067907042579,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.014583333333333334
ppo_with_uncertainty_guard,0.18140662049170025,0.19699641878593602,16,0.9998911510723333,cpu,1373737.0757593145,wf_2018_2019,0.23770622380762263,True,19,0.8462369341746425,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.01978159240295412,0.05
ppo_standalone,-0.0044789270976182205,0.022317983327491814,16,0.9911446356064284,cpu,991485.9986908534,wf_2018_2019,0.036139678044866175,True,23,-0.20113625624543996,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.020833333333333332
ppo_with_uncertainty_guard,0.18671096192733946,0.2024086494790196,16,0.9998911510721629,cpu,1385509.271460715,wf_2018_2019,0.2378356992237901,True,23,0.8457417662205031,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.021145481399274055,0.05
ppo_standalone,-0.007916164902795848,0.024375368967365734,16,0.9845575316376928,cpu,984975.6018875169,wf_2018_2019,0.04208363667623194,True,29,-0.32605095467853906,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.014583333333333334
ppo_with_uncertainty_guard,0.10139203395124734,0.08141610838449283,16,0.9998970084113943,cpu,1201958.276908055,wf_2018_2019,0.0767217083502516,True,29,1.1861863552291108,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.007669440224437362,0.05
