agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,var_95,var_95_violation_rate
ppo_standalone,-0.0008534916069933222,0.01034189962792023,0.9886952455674771,cpu,996684.9556731281,test_legacy,0.01573258692149604,True,29,-0.08256151798159682,AVGO,50000,0.0,0.00510204081632653
ppo_standalone,-0.002922315821549939,0.03874928772412166,0.9536926461409062,cpu,988683.3214735531,test_legacy,0.04831424001428031,True,37,-0.07552608850354822,AVGO,50000,0.0,0.03877551020408163
ppo_standalone,0.0008876217122184431,0.02517075662432273,0.9894996898254512,cpu,1003456.2903905248,test_legacy,0.03269456209822663,True,42,0.03524814238979824,AVGO,50000,0.0,0.019387755102040816
ppo_standalone,-0.0010772617959541157,0.01214260163554236,0.9875714166341741,cpu,995817.162969364,test_legacy,0.017005602657924057,True,53,-0.0887642039958239,AVGO,50000,0.0,0.00510204081632653
ppo_standalone,-0.013550574406215661,0.052576629640229196,0.9113680561818256,cpu,948325.983039867,test_legacy,0.09753171599549082,False,67,-0.2594913412678429,AVGO,50000,-0.0018760699104337418,0.05
ppo_standalone,-0.0010814675113254534,0.019585348429837737,0.9818972358706903,cpu,995800.8583569416,test_legacy,0.026587929598126614,True,89,-0.055247623133323404,AVGO,50000,0.0,0.013265306122448979
ppo_standalone,0.004261644213565484,0.013169124197550413,0.9824714978529375,cpu,1016675.3537610526,test_legacy,0.018443738961759548,True,7,0.3229172874218889,AXP,50000,0.0,0.011224489795918367
ppo_standalone,0.005743463142609867,0.010276495153709467,0.992915593836014,cpu,1022521.6603617778,test_legacy,0.011182072659100317,True,13,0.5572857077501443,AXP,50000,0.0,0.009183673469387756
ppo_standalone,0.00540188593573597,0.007236842998969506,0.9966737238370059,cpu,1021171.8068008119,test_legacy,0.005006384569480327,True,19,0.7444171317756899,AXP,50000,0.0,0.00816326530612245
ppo_standalone,0.003945613714088803,0.0050278718665137485,0.9970265776605046,cpu,1015431.719903462,test_legacy,0.003178127471976211,True,23,0.7831794392323446,AXP,50000,0.0,0.007142857142857143
ppo_standalone,0.0042244223046374405,0.0054409814762891445,0.9975250996341837,cpu,1016528.8204558027,test_legacy,0.0038368896750470283,True,29,0.7747502014648782,AXP,50000,0.0,0.004081632653061225
ppo_standalone,0.006972245058164914,0.010305751745293466,0.9957352903747332,cpu,1027388.5554840132,test_legacy,0.008034538226592947,True,37,0.6741812239972813,AXP,50000,0.0,0.009183673469387756
ppo_standalone,0.005617567742536345,0.006871767777532055,0.9980285494868776,cpu,1022023.9895510804,test_legacy,0.00390981679182123,True,42,0.8151786888154686,AXP,50000,0.0,0.004081632653061225
ppo_standalone,0.005218542171535058,0.007282844668469644,0.9950771363880901,cpu,1020447.8104107206,test_legacy,0.005891557683767701,True,53,0.7146739432412108,AXP,50000,0.0,0.007142857142857143
ppo_standalone,0.004269408799071097,0.00678125343875192,0.9953423093805825,cpu,1016705.9229616264,test_legacy,0.00563534726776771,True,67,0.6282350365633391,AXP,50000,0.0,0.009183673469387756
ppo_standalone,0.006545769807622379,0.00865155491704413,0.9983265796889877,cpu,1025697.4492162915,test_legacy,0.007037493724699306,True,89,0.7541210381835374,AXP,50000,0.0,0.007142857142857143
ppo_standalone,0.0021518871016636284,0.009021818198071097,0.9905820410299867,cpu,1008394.4965961451,test_legacy,0.012247143443170683,True,7,0.23825987611480443,BA,50000,0.0,0.009183673469387756
ppo_standalone,-0.00040512475367085585,0.010501420568484987,0.9808106867150685,cpu,998425.436554406,test_legacy,0.01964956627543324,True,13,-0.03858532386182114,BA,50000,0.0,0.01020408163265306
ppo_standalone,0.001247450147109154,0.003945046302556383,0.9990262047941854,cpu,1004859.9431186558,test_legacy,0.004017390435361312,True,19,0.3159969412445549,BA,50000,0.0,0.004081632653061225
ppo_standalone,0.0006318590184759882,0.006269729520042766,0.9906093881436433,cpu,1002459.4730857741,test_legacy,0.009390611856356701,True,23,0.10074493402528518,BA,50000,0.0,0.00816326530612245
ppo_standalone,0.0010802501662099124,0.004244872037255266,0.9970828070419432,cpu,1004207.5323638221,test_legacy,0.004017390435361312,True,29,0.25433669888754684,BA,50000,0.0,0.00510204081632653
ppo_standalone,0.002895333135300027,0.008790868326988511,0.9928008729105946,cpu,1011306.80419094,test_legacy,0.010429823057861665,True,37,0.32887507996168414,BA,50000,0.0,0.00816326530612245
ppo_standalone,0.0019257008038320212,0.004560445493293186,0.9982301140214808,cpu,1007509.692433496,test_legacy,0.004199357975861018,True,42,0.4218408172306522,BA,50000,0.0,0.00510204081632653
ppo_standalone,0.0021763640327406557,0.005239346331507316,0.9972133383847099,cpu,1008490.2809865841,test_legacy,0.0042011626923639245,True,53,0.41492453033686344,BA,50000,0.0,0.004081632653061225
ppo_standalone,0.0017378695549015951,0.006304128668144582,0.9939457815699946,cpu,1006775.365441329,test_legacy,0.007189532755903838,True,67,0.27542545145597047,BA,50000,0.0,0.007142857142857143
ppo_standalone,0.002600694018227261,0.006293795360865448,0.9955648008054879,cpu,1010151.865433972,test_legacy,0.004435199194512074,True,89,0.4126687328451781,BA,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,7,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,13,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,19,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,23,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.0022599731634181507,0.004627190521434961,0.9912398648296785,cpu,991239.8648296786,test_legacy,0.009980342884162607,True,29,-0.4889474786920834,BLK,50000,0.0,0.006122448979591836
ppo_standalone,-0.0022524252392220026,0.004629956473813694,0.9912690269551947,cpu,991269.0269551947,test_legacy,0.009980342884162607,True,37,-0.48702152278256183,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,42,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,53,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,67,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,-0.002246864494642324,0.004627116918166203,0.9912905118303282,cpu,991290.5118303283,test_legacy,0.009980342884162607,True,89,-0.4861159450570228,BLK,50000,0.0,0.00510204081632653
ppo_standalone,0.009263077713192706,0.01610615403711254,0.9931616915037278,cpu,1036507.8857400977,test_legacy,0.02084599848537272,True,7,0.5724735788198485,BRK-B,50000,0.0,0.027551020408163266
ppo_standalone,0.053254509564591816,0.07869383334727617,0.9566714076815338,cpu,1223572.213814925,test_legacy,0.1369062423933659,True,13,0.6593248361052828,BRK-B,50000,-0.007576532004165503,0.05
ppo_standalone,0.021497001747193316,0.056479092187361905,0.9941198949694826,cpu,1086230.6197790522,test_legacy,0.13404743159270094,True,19,0.3765843167702571,BRK-B,50000,-0.005846118245859522,0.05
ppo_standalone,0.006974503583607091,0.017655027078797434,0.9774919636905341,cpu,1027397.5167455483,test_legacy,0.02250803630946585,True,23,0.3936687103214731,BRK-B,50000,0.0,0.03775510204081633
ppo_standalone,0.005601510542677264,0.011754816511803946,0.9989276536414889,cpu,1021960.5275781603,test_legacy,0.018189170478045802,True,29,0.4751928695253478,BRK-B,50000,0.0,0.02040816326530612
