arm,ticker,fold_id,final_portfolio_value,sharpe_ratio,max_drawdown,capital_preservation_rate_95pct_hwm
WF_A,XLF,wf_2022_2023,992685.819091578,-0.21736438433624938,0.022777438657769156,0.9792756724835541
WF_A,XLF,wf_2024_2025,1008495.5356175771,0.7620292340477495,0.004446719471500327,0.9994375304438159
WF_A,XLK,wf_2018_2019,990049.8791780437,-0.18328709812585953,0.041374464387281706,0.984969208684738
WF_A,XLK,wf_2020_2021,1016542.2303634309,0.3614777010350368,0.028077706277598646,0.9833468885908221
WF_A,XLK,wf_2022_2023,980597.2437359272,-0.5738142141996183,0.028799014676700097,0.9768500678645825
WF_A,XLK,wf_2024_2025,1014600.8067455448,0.8131822946457299,0.009874575230011284,0.9940480805965675
WF_A,XLU,wf_2018_2019,983383.1027209024,-0.6304017871576714,0.03066153555126666,0.9833831027209023
WF_A,XLU,wf_2020_2021,994806.1787560869,-0.28076078975413654,0.012857173005957956,0.9876140483133754
WF_A,XLU,wf_2022_2023,995931.2598787372,-0.24703460232748908,0.018944555170365973,0.9885870451899098
WF_A,XLU,wf_2024_2025,1002830.345798218,0.09397372205813281,0.01856800944055209,0.9934605513039804
WF_A,XLV,wf_2018_2019,979835.900998701,-0.516835639862556,0.03559358543465019,0.979690710130849
WF_A,XLV,wf_2020_2021,1017341.7277875429,1.0241527411765747,0.004006002417879961,0.9966289856906664
WF_A,XLV,wf_2022_2023,995405.437664732,-0.24487028779962722,0.017674724994169944,0.9863205438370923
WF_A,XLV,wf_2024_2025,1015411.9234956714,1.0906292927841135,0.0038162019184069806,0.9974364054826113
WF_B,IWM,wf_2018_2019,1057979.591648438,0.21017578479042964,0.21473538369981365,0.9802217416011321
WF_B,IWM,wf_2020_2021,1422587.3837500731,0.7363927948065622,0.21745348304760032,0.9222812684318833
WF_B,IWM,wf_2022_2023,1060985.2291645682,0.14105870987211563,0.17907196704534356,0.996194484677164
WF_B,IWM,wf_2024_2025,1269059.678134673,0.6337894798529281,0.2718639512303079,0.9725414500470989
WF_B,QQQ,wf_2018_2019,1267298.7498955305,0.6952821849280935,0.20922377306502965,0.9991582988584382
WF_B,QQQ,wf_2020_2021,1720980.5954140057,1.2641903334105904,0.18431421148565524,0.9952166970902045
WF_B,QQQ,wf_2022_2023,1179971.545959665,0.3890411025300883,0.20948300933229708,0.9995344157422344
WF_B,QQQ,wf_2024_2025,1457612.1573017705,0.9714733486769255,0.22761746396298244,0.9778220567732254
WF_B,SPY,wf_2018_2019,1154549.3822632092,0.7015610521182225,0.15918256404963754,0.9997719934774008
WF_B,SPY,wf_2020_2021,1506117.8176084566,1.085254293233017,0.1842790970793931,1.0
WF_B,SPY,wf_2022_2023,1084632.5541537278,0.30602159987479083,0.13765458937812386,1.0
WF_B,SPY,wf_2024_2025,1406943.9907695614,1.1309113489650469,0.1875321026338872,0.9963353190166295
WF_B,XLE,wf_2018_2019,916848.0648273716,-0.2881198783700655,0.2901417174921668,0.8390096857496855
WF_B,XLE,wf_2020_2021,1187506.1666964742,0.4662531358587041,0.165933260882284,0.9680537853333973
WF_B,XLE,wf_2022_2023,1073235.2702806573,0.31765541185892604,0.14680906559475299,0.9291961896750052
WF_B,XLE,wf_2024_2025,1042193.918878026,0.18900315231519924,0.15900995371964521,0.9561238474145031
WF_B,XLF,wf_2018_2019,1086004.7255467316,0.31930725600609033,0.14686112786810707,0.997407321166448
WF_B,XLF,wf_2020_2021,1220294.2720525216,0.6658921950969051,0.19303648299796483,0.977428072837586
WF_B,XLF,wf_2022_2023,1020251.7093540295,0.06488444307065257,0.15017689707774856,0.9984134214453904
WF_B,XLF,wf_2024_2025,1373068.48914866,1.120955779273421,0.15414130328829095,0.9926431270587208
WF_B,XLK,wf_2018_2019,1367130.9673710156,0.8459844668244154,0.23505141480910668,0.99989115220235
WF_B,XLK,wf_2020_2021,1806428.3936420889,1.2303682919664016,0.20098513301828874,0.9956630697867119
WF_B,XLK,wf_2022_2023,1257293.1252753297,0.5152685454254257,0.21913853184722576,1.0
WF_B,XLK,wf_2024_2025,1441964.5776853913,0.7987431716994235,0.255700281619529,0.9607170636264867
WF_B,XLU,wf_2018_2019,1244028.431425043,1.1745129291381353,0.06750705386398032,0.9969363283418888
WF_B,XLU,wf_2020_2021,1078383.563761157,0.26479756802217125,0.2261303265014203,1.0
WF_B,XLU,wf_2022_2023,978583.0464441979,-0.08280997137482884,0.1801787481458389,0.8911197658781554
WF_B,XLU,wf_2024_2025,1237216.0592674818,1.125916863534101,0.0740564629132846,0.9506827754897927
WF_B,XLV,wf_2018_2019,1177092.9407500662,0.6975495215995948,0.13003363557325492,0.9984332030711178
WF_B,XLV,wf_2020_2021,1439565.1811996147,1.1033300724376445,0.16261951048475637,1.0
WF_B,XLV,wf_2022_2023,1058690.6722244273,0.2214560810729317,0.11877699486955451,0.9932598105314816
WF_B,XLV,wf_2024_2025,1105416.1929285165,0.43015717953701993,0.14938316103940397,0.9874779398436291
