arm,ticker,final_portfolio_value,sharpe_ratio,max_drawdown,capital_preservation_rate_95pct_hwm
C,CAT,2889851.5698355096,0.9940431411328804,0.33581449090478865,0.9252223669047557
C,COPX,2000545.5552151015,0.595823627495222,0.38113830355013134,0.9652133715894249
C,COST,1766740.7728960738,0.6580235347515805,0.2534704793587616,0.8092099585865863
C,CRM,962185.0588610035,-0.49674225665667116,0.0642243875945932,0.9478827628795485
C,DIA,1497363.2567278869,0.7115688384304418,0.15954333451676495,0.9949900487495092
C,EEMX,1161793.4681258998,0.35501935335113666,0.17896404017731504,0.9883381379569547
C,GLD,2310694.8304163627,1.3716261945087849,0.17699331137477065,0.9564716980476542
C,GOOGL,2401291.121073799,0.7670896858189733,0.3347548792625358,0.9705915317751348
C,GS,2796133.3584799464,0.9922536159532789,0.3084435579938591,0.9793158475672876
C,HSBC,2902358.1232496463,1.1605376530047324,0.26276395238488154,0.9859947090007908
C,IAU,2321410.963905231,1.3766651666693184,0.17894541163798589,0.9562925253389616
C,IBB,1221788.7611549753,0.3331483335949952,0.188253793853908,0.9857592874792791
C,IBM,2491791.873791332,1.0898965438425599,0.19452273702116718,0.9711321422955588
C,IJR,1144618.0871666092,0.22001793479225532,0.20901613761769045,0.9842498528901616
C,JNJ,1351902.2784212895,0.46833055537417145,0.17234069046572348,0.9691366273058177
C,JPM,2484286.6655510077,1.0092189735851347,0.24404223299425792,0.9835439089428002
C,LLY,4191610.999352228,1.173657334546538,0.34474992381188696,0.9718814357705312
C,MA,1580839.5954993719,0.5698962529670011,0.22917377396689426,0.9661127907376454
C,MCD,1171295.6816149352,0.3360010639970557,0.12302196935186632,0.9743738967698691
C,META,2404775.918936048,0.6002935297729483,0.5240993813058077,0.8439719836252679
C,MSFT,1623852.317429204,0.5384343514185612,0.22462371933544795,0.910474447995188
C,NFLX,2410980.7423519613,0.6546371109899027,0.40843272102569245,0.7308863466159303
C,NVDA,8394660.957026303,1.112443175752771,0.4940034698732534,0.9091557171368299
C,ORCL,2472357.221499471,0.6352039793587188,0.4318774708253125,0.6171765044524459
C,PGR,2026710.8366587046,0.7775067319216034,0.2949893548002269,0.7880283674799916
C,PLTR,15136409.216736741,1.1482788133423338,0.4593581478223843,0.8890553322160797
C,PPLT,2055910.2085459179,0.6731353771545795,0.2482967955001344,0.8757160601786262
C,QCOM,1161338.6559837852,0.11090581636320931,0.42238400030336815,0.7958878826826052
C,QQQ,1751984.9219799084,0.7423336335609814,0.22201197034812264,0.9784377226640184
C,REGN,1225139.7243985697,0.18709712194077158,0.5746769651886501,0.6735491592799087
C,RY,1778956.781234303,0.8295360920047681,0.23158644914004956,1.0
C,RYTM,9086433.580784017,0.916479317578844,0.49502800459722063,0.956902623355196
C,SAP,2202996.50206893,0.8141438883408084,0.24912197407849446,0.7895240049989081
C,SCHB,1540175.366312174,0.721682896918898,0.18717118537676558,0.9968186866152459
C,SCHD,1188367.9921095062,0.35188973050665195,0.14694627987496484,0.9812889375010214
C,SCHF,1490020.1738677365,0.6589561391953136,0.2225752554352834,0.9983478315621376
C,SCHG,1889055.2027787606,0.7585040323089358,0.2331062599345184,0.9784405010666222
C,SCHK,1606078.1720169075,0.7638684670753717,0.18864331459755762,0.996761499420896
C,SCHV,1388939.322771031,0.5933805243138097,0.15296518047693813,0.9976634593597227
C,SCHW,1266744.8552554566,0.22371583379117968,0.43193784990468226,0.9943076849280215
C,SLV,3124215.1809016503,1.0456828545266168,0.26607169315200074,0.9281865500160121
C,SNY,1091307.2870371449,0.09081406921894489,0.25507763947865614,0.8665163696888754
C,SPOT,3454899.920874656,0.7959552272826922,0.4578233014588948,0.7621986808672232
C,SPY,1625438.191243289,0.7656929102008034,0.18596183208465705,0.996345715364686
C,SPYG,1686194.059136349,0.7160972439407045,0.21900505327258624,0.9861837618666613
C,SPYV,1480802.4710698118,0.7643760857796442,0.1715813308024275,0.9980986867911399
C,SPYX,1617139.7702588276,0.8180413365076945,0.18617339750178075,0.996071206766686
C,TAN,991078.7998242187,-0.1360575777438576,0.026316289822398198,0.9874901750367893
C,TMUS,1772379.6830408645,0.6622726185109093,0.2759425470496245,0.7537008868022574
C,TSLA,993255.3070535108,-0.056569960193024,0.07935643352835475,0.979014105815452
C,TSM,2736131.0206663543,0.7782582307376325,0.37133753905099265,0.9734314114009165
C,V,1630682.183844341,0.6069658763930187,0.1926830691358452,0.9534639267194581
C,VOO,1616603.7183911563,0.8003467876324921,0.18474958322479096,0.9965459093542026
C,VTI,1563540.224050682,0.6996202503317086,0.19208360273423364,0.9957525984298904
C,VYM,1458062.0040492774,0.6973279469683114,0.14455280176710433,0.9855821287142701
C,VYMI,1590107.986214446,0.8234628838038197,0.2000910491091718,0.9981288625788123
C,XLF,1514297.607921963,0.6225389342161689,0.186173022772619,0.992929082735724
C,XLI,1664494.7409539241,0.7925491865266785,0.18453886239389306,0.9960008439229304
C,XLK,1908756.4688494494,0.7280891409141905,0.25489221521142175,0.9607889458757495
C,XLU,1380066.4146619868,0.49057373292652007,0.2251794770535086,0.9318403586108954
