agent,ticker,fold_id,metric,n,mean,std,median,q25,q75,min,max
ppo_standalone,QQQ,wf_2022_2023,annualized_return,13,-0.01303006350032452,0.0029032337324285612,-0.0120597517479111,-0.01511893495452276,-0.01130206448162225,-0.01761577426438209,-0.008864832041882124
ppo_standalone,QQQ,wf_2022_2023,annualized_volatility,13,0.02201686787808454,0.003850212178619358,0.021247368500286322,0.01880219122758926,0.026333321352258722,0.016923222254238673,0.027455977571040676
ppo_standalone,QQQ,wf_2022_2023,sharpe_ratio,13,-0.5965901467261798,0.08506904046960145,-0.6045211462739369,-0.6612650043433974,-0.5411565857271977,-0.7229430669659843,-0.43558645869514345
ppo_standalone,QQQ,wf_2022_2023,max_drawdown,13,0.03229748602393908,0.007069500701479613,0.03106571129968405,0.027974531916368006,0.038816529199818595,0.02076134161060328,0.041587919952255525
ppo_standalone,QQQ,wf_2022_2023,var_95,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,QQQ,wf_2022_2023,var_95_violation_rate,13,0.029066966436486267,0.009078481133850774,0.022964509394572025,0.020876826722338204,0.03549060542797495,0.020876826722338204,0.04801670146137787
ppo_standalone,QQQ,wf_2022_2023,capital_preservation_rate_95pct_hwm,13,0.9716227760865945,0.005445161088112886,0.9733364748027759,0.9679668477756819,0.9748986339759725,0.9630751842114049,0.9792386583893967
ppo_standalone,QQQ,wf_2024_2025,final_portfolio_value,13,1017588.7563458277,2901.994639154302,1017080.7450962587,1015309.5516581099,1020257.3080533718,1013851.6059082577,1022192.6352288647
ppo_standalone,QQQ,wf_2024_2025,annualized_return,13,0.009214195251036717,0.0015139161024808163,0.008950044623061678,0.008025294118678366,0.010606637153727139,0.007263518270908555,0.011614721306857952
ppo_standalone,QQQ,wf_2024_2025,annualized_volatility,13,0.009901000670971502,0.0016748075554179264,0.009795633281434069,0.008963740094810203,0.011111561635019508,0.006728097227385604,0.012425096093035784
ppo_standalone,QQQ,wf_2024_2025,sharpe_ratio,13,0.9325177236582499,0.10243480677671946,0.9091381908349622,0.8519227420576131,0.9816295304710659,0.8248580604326193,1.1880140617064892
ppo_standalone,QQQ,wf_2024_2025,max_drawdown,13,0.006590554408282558,0.002105300226229877,0.006484921832285329,0.005611217571996119,0.008034231185761853,0.0012901467691124324,0.00925788178140452
ppo_standalone,QQQ,wf_2024_2025,var_95,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,QQQ,wf_2024_2025,var_95_violation_rate,13,0.023125100369359244,0.00730497730532971,0.022964509394572025,0.018789144050104383,0.027139874739039668,0.010438413361169102,0.037578288100208766
ppo_standalone,QQQ,wf_2024_2025,capital_preservation_rate_95pct_hwm,13,0.9972643381492404,0.0017575664023434467,0.9974845204761063,0.996464470056663,0.9982204671085289,0.9944207214235123,0.9997577401182005
ppo_standalone,REGN,test_legacy,final_portfolio_value,10,1067074.874766869,52870.04794257059,1063546.912775259,1014873.5289772719,1115406.347388407,1007266.5779544835,1136277.011835279
ppo_standalone,REGN,test_legacy,annualized_return,10,0.016619985116068405,0.012937902637813263,0.015956369643965847,0.0037954553443075956,0.0284736189183826,0.0018635265614484714,0.033397415342595
ppo_standalone,REGN,test_legacy,annualized_volatility,10,0.07100076489907783,0.0675942236179066,0.037420460571173306,0.022295670400684708,0.1442606028179444,0.005471796924455444,0.1626626081754278
ppo_standalone,REGN,test_legacy,sharpe_ratio,10,0.32533313844988176,0.21059753410312582,0.29544044208059894,0.19965271549859612,0.3565208824626731,0.04805805902614678,0.7987588603220164
ppo_standalone,REGN,test_legacy,max_drawdown,10,0.15887301013782115,0.1694200501555859,0.08518100495756598,0.029570891929295212,0.33589091348291905,0.0037934399949071107,0.3927241705164911
ppo_standalone,REGN,test_legacy,var_95,10,-0.005187027680392502,0.00645840890169714,-0.0012273483212104528,-0.012264074283622351,0.0,-0.013965192217642298,0.0
ppo_standalone,REGN,test_legacy,var_95_violation_rate,10,0.035408163265306124,0.01775269095105069,0.04183673469387755,0.02704081632653061,0.05,0.006122448979591836,0.05
ppo_standalone,REGN,test_legacy,capital_preservation_rate_95pct_hwm,10,0.8997384739474562,0.1005781347759146,0.9406106264467933,0.7955998989366366,0.9870847085060028,0.7605722508615581,0.9969281141831562
ppo_standalone,RY,test_legacy,final_portfolio_value,10,999733.7572934206,771.8558783447827,999821.2281755039,999564.7378817528,1000393.5694628769,998410.0566005987,1000570.813572316
ppo_standalone,RY,test_legacy,annualized_return,10,-6.852043060877379e-05,0.00019855140719066965,-4.597546981542395e-05,-0.00011194264922041492,0.00010118442190503371,-0.00040908425383290347,0.0001467495232856567
ppo_standalone,RY,test_legacy,annualized_volatility,10,0.002294932372270083,0.00034128820063186825,0.002152159375665026,0.0020996412369025585,0.002252836897856416,0.002085885917889738,0.003124591991599274
ppo_standalone,RY,test_legacy,sharpe_ratio,10,-0.021959824316495062,0.07704678893083791,-0.02133304661951555,-0.05182674844823005,0.048483970081630495,-0.15281136636796624,0.07033715209374504
ppo_standalone,RY,test_legacy,max_drawdown,10,0.003274762539493292,0.0006716700319109051,0.0029679365464899132,0.0028784084357271755,0.0031513128776389787,0.002854663370728039,0.004729099452634111
ppo_standalone,RY,test_legacy,var_95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,RY,test_legacy,var_95_violation_rate,10,0.0068367346938775515,0.0008400740840291479,0.0066326530612244895,0.006122448979591836,0.007142857142857143,0.006122448979591836,0.00816326530612245
ppo_standalone,RY,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9969814458409723,0.0008376944639235964,0.9971044804721017,0.996848687122361,0.9976752665745734,0.9954477211327705,0.9978520290703863
ppo_standalone,RYTM,test_legacy,final_portfolio_value,10,1602314.3455806256,2200910.8364809654,894458.284928496,764248.3205473142,1114132.840253621,725388.9555132187,7846606.089671284
ppo_standalone,RYTM,test_legacy,annualized_return,10,0.044917689134684746,0.23443709989192069,-0.02914094687583805,-0.0668492005929557,0.028100558910380373,-0.07923921849686962,0.6984823859535688
ppo_standalone,RYTM,test_legacy,annualized_volatility,10,0.15513525995017252,0.14116853817948743,0.12511233499579397,0.10200813734003662,0.13017263059607845,0.03392803046013364,0.5461854598334945
ppo_standalone,RYTM,test_legacy,sharpe_ratio,10,-0.11769226138611885,0.5392333319104132,-0.3094511389768937,-0.5422072007158053,0.2619002506274453,-0.6341664472373488,0.9698811543029064
ppo_standalone,RYTM,test_legacy,max_drawdown,10,0.3238474151155244,0.15470555240622882,0.3831145396076487,0.19582785452784005,0.43864987682299905,0.07196829783736403,0.45856354517389064
ppo_standalone,RYTM,test_legacy,var_95,10,-0.005749088743482735,0.014911503114927515,0.0,-0.0007634699725776793,0.0,-0.04742069729989895,0.0
ppo_standalone,RYTM,test_legacy,var_95_violation_rate,10,0.038979591836734696,0.013797957691186635,0.044387755102040814,0.02857142857142857,0.05,0.012244897959183673,0.05
ppo_standalone,RYTM,test_legacy,capital_preservation_rate_95pct_hwm,10,0.760758487167441,0.180553515985356,0.7571750611478425,0.5902830233480798,0.9241821705203079,0.5597036089016894,0.9807687101207527
ppo_standalone,SAP,test_legacy,final_portfolio_value,10,993183.376741332,194.36023942991844,993265.2044065048,993265.2044065048,993265.2044065048,992666.1286533969,993265.2044065048
ppo_standalone,SAP,test_legacy,annualized_return,10,-0.0017573049362123565,5.024048941525793e-05,-0.001736153710995632,-0.001736153710995632,-0.001736153710995632,-0.0018910117100751885,-0.001736153710995632
ppo_standalone,SAP,test_legacy,annualized_volatility,10,0.006370759357022905,0.00011900705347720584,0.006332186124294518,0.006332186124294518,0.006332186124294518,0.006332186124294518,0.006709373119194353
ppo_standalone,SAP,test_legacy,sharpe_ratio,10,-0.2760382562104928,0.0034377281887347337,-0.2744106027638056,-0.2744106027638056,-0.2744106027638056,-0.28299133253581427,-0.2744106027638056
ppo_standalone,SAP,test_legacy,max_drawdown,10,0.012329443863740153,9.328320169190372e-05,0.012299945125262224,0.012299945125262224,0.012299945125262224,0.012299945125262224,0.012594932510041512
ppo_standalone,SAP,test_legacy,var_95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,SAP,test_legacy,var_95_violation_rate,10,0.00510204081632653,0.0,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653
ppo_standalone,SAP,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9931833767413322,0.00019436023942992107,0.9932652044065048,0.9932652044065048,0.9932652044065048,0.9926661286533969,0.9932652044065048
ppo_standalone,SCHB,test_legacy,final_portfolio_value,10,996645.3414695018,1334.2594999404541,997334.5065393586,996946.3472168478,997334.5065393586,993522.1738924877,997334.5065393586
ppo_standalone,SCHB,test_legacy,annualized_return,10,-0.000863857542498972,0.00034422370252088896,-0.0006860922430847895,-0.0007861187282186567,-0.0006860922430847895,-0.0016697496846049555,-0.0006860922430847895
ppo_standalone,SCHB,test_legacy,annualized_volatility,10,0.005709894222506283,0.0008104546099644933,0.005308772755041145,0.005308772755041145,0.00543311848025914,0.005308772755041145,0.007467528159888448
ppo_standalone,SCHB,test_legacy,sharpe_ratio,10,-0.1476141815455866,0.03562842764961672,-0.1292779370125176,-0.14699283057480322,-0.1292779370125176,-0.2390019069621763,-0.1292779370125176
ppo_standalone,SCHB,test_legacy,max_drawdown,10,0.009773282687514562,0.0005399496767536821,0.009517231174130059,0.009517231174130059,0.009517231174130059,0.009517231174130059,0.010824094948766905
ppo_standalone,SCHB,test_legacy,var_95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,SCHB,test_legacy,var_95_violation_rate,10,0.004693877551020408,0.0010969058160950405,0.004081632653061225,0.004081632653061225,0.004846938775510204,0.004081632653061225,0.007142857142857143
ppo_standalone,SCHB,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9939872999144146,0.00138469428568834,0.9947091592315687,0.994322021685629,0.9947091592315687,0.990906862031366,0.9947091592315687
ppo_standalone,SCHD,test_legacy,final_portfolio_value,10,998932.8201460729,1246.4915927868408,999490.6439281804,999141.4750232142,999654.6262353489,996534.3166049564,999766.7368201074
ppo_standalone,SCHD,test_legacy,annualized_return,10,-0.00027466045560856566,0.00032098042907819225,-0.00013100206250375696,-0.0002208354537362393,-8.882188233390042e-05,-0.0008923252147386479,-5.998715812149952e-05
ppo_standalone,SCHD,test_legacy,annualized_volatility,10,0.0033522401121599136,0.00046746535823082383,0.00314667367132687,0.0031189912381571813,0.0031860193476610406,0.0031115359307075617,0.004488222299394268
ppo_standalone,SCHD,test_legacy,sharpe_ratio,10,-0.0734620889478065,0.07351099148305557,-0.04174787424924331,-0.06930754934791108,-0.028214758913150895,-0.21986202183234319,-0.019278548724536736
ppo_standalone,SCHD,test_legacy,max_drawdown,10,0.006143361668237546,0.0007614006784708616,0.005806733199519742,0.005806733199519742,0.005806733199519742,0.005806733199519742,0.00807503787124142
